financial_year,age_group,identified_patients,total_items,nic_gbp
2015/2016,children,67057,677491,26927166.84
2015/2016,adults,38361,364593,17432101.89
2016/2017,children,71427,723693,28174970.26
2016/2017,adults,43236,420234,19366414.05
2017/2018,children,75113,745611,29017289.17
2017/2018,adults,47533,466047,20792430.61
2018/2019,children,80630,779096,29790678.29
2018/2019,adults,53726,530360,23352644.88
2019/2020,children,90397,878580,33392545.41
2019/2020,adults,62632,650379,28536009.84
2020/2021,children,89882,852510,32436793.44
2020/2021,adults,71707,767514,34082573.28
2021/2022,children,99925,928094,33738542.8
2021/2022,adults,90812,940068,40916534.48
2022/2023,children,112414,1013686,36351515.01
2022/2023,adults,119748,1213100,53651296.48
2023/2024,children,123510,1084376,39705438.89
2023/2024,adults,152874,1502733,71502738.98
2024/2025,children,135221,1169426,44672116.26
2024/2025,adults,190076,1851027,94625238.17
