ICB_NAME,FY_LABEL,mean_6wk_pct,n_months,n_subicbs,incomplete_year
EAST OF ENGLAND - H&J COMMISSIONING HUB,2024/25,94.75,4,1.0,True
EAST OF ENGLAND - H&J COMMISSIONING HUB,2025/26,72.33333333333333,9,1.0,True
LONDON - H&J COMMISSIONING HUB,2025/26,,1,0.0,True
MIDLANDS - H&J COMMISSIONING HUB,2024/25,,1,0.0,True
MIDLANDS - H&J COMMISSIONING HUB,2025/26,,6,0.0,True
NATIONAL COMMISSIONING HUB 1,2024/25,96.5,4,1.0,True
NATIONAL COMMISSIONING HUB 1,2025/26,97.66666666666667,9,1.0,True
"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB",2024/25,91.5,4,1.0,True
"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB",2025/26,92.66666666666667,9,1.0,True
"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES ICB",2024/25,98.0,4,1.0,True
"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES ICB",2025/26,94.0,9,1.0,True
NHS BIRMINGHAM AND SOLIHULL ICB,2024/25,89.25,4,1.0,True
NHS BIRMINGHAM AND SOLIHULL ICB,2025/26,87.77777777777777,9,1.0,True
NHS BLACK COUNTRY ICB,2024/25,90.0,4,1.0,True
NHS BLACK COUNTRY ICB,2025/26,81.33333333333333,9,1.0,True
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE ICB",2024/25,97.5,4,1.0,True
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE ICB",2025/26,97.88888888888889,9,1.0,True
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST ICB",2024/25,96.66666666666667,4,3.0,True
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST ICB",2025/26,93.51851851851852,9,3.0,True
NHS CAMBRIDGESHIRE AND PETERBOROUGH ICB,2024/25,96.0,4,1.0,True
NHS CAMBRIDGESHIRE AND PETERBOROUGH ICB,2025/26,91.11111111111111,9,1.0,True
NHS CHESHIRE AND MERSEYSIDE ICB,2024/25,95.19444444444444,4,9.0,True
NHS CHESHIRE AND MERSEYSIDE ICB,2025/26,89.30555555555556,9,8.777777777777779,True
NHS CORNWALL AND THE ISLES OF SCILLY ICB,2024/25,91.25,4,1.0,True
NHS CORNWALL AND THE ISLES OF SCILLY ICB,2025/26,85.5,9,0.8888888888888888,True
NHS COVENTRY AND WARWICKSHIRE ICB,2024/25,94.75,4,1.0,True
NHS COVENTRY AND WARWICKSHIRE ICB,2025/26,95.11111111111111,9,1.0,True
NHS DERBY AND DERBYSHIRE ICB,2024/25,88.5,4,1.0,True
NHS DERBY AND DERBYSHIRE ICB,2025/26,69.33333333333333,9,1.0,True
NHS DEVON ICB,2024/25,89.25,4,1.0,True
NHS DEVON ICB,2025/26,88.77777777777777,9,1.0,True
NHS DORSET ICB,2024/25,97.25,4,1.0,True
NHS DORSET ICB,2025/26,95.44444444444444,9,1.0,True
NHS FRIMLEY ICB,2024/25,96.25,4,1.0,True
NHS FRIMLEY ICB,2025/26,91.66666666666667,9,1.0,True
NHS GLOUCESTERSHIRE ICB,2024/25,93.75,4,1.0,True
NHS GLOUCESTERSHIRE ICB,2025/26,89.55555555555556,9,1.0,True
NHS GREATER MANCHESTER ICB,2024/25,79.3,4,10.0,True
NHS GREATER MANCHESTER ICB,2025/26,77.06666666666666,9,10.0,True
NHS HAMPSHIRE AND ISLE OF WIGHT ICB,2024/25,89.75,4,2.0,True
NHS HAMPSHIRE AND ISLE OF WIGHT ICB,2025/26,86.66666666666667,9,2.0,True
NHS HEREFORDSHIRE AND WORCESTERSHIRE ICB,2024/25,86.5,4,1.0,True
NHS HEREFORDSHIRE AND WORCESTERSHIRE ICB,2025/26,86.55555555555556,9,1.0,True
NHS HERTFORDSHIRE AND WEST ESSEX ICB,2024/25,77.08333333333334,4,3.0,True
NHS HERTFORDSHIRE AND WEST ESSEX ICB,2025/26,79.33333333333333,9,3.0,True
NHS HUMBER AND NORTH YORKSHIRE ICB,2024/25,89.08333333333334,4,6.0,True
NHS HUMBER AND NORTH YORKSHIRE ICB,2025/26,82.05185185185185,9,5.777777777777778,True
NHS KENT AND MEDWAY ICB,2024/25,83.0,4,1.0,True
NHS KENT AND MEDWAY ICB,2025/26,93.55555555555556,9,1.0,True
NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2024/25,93.90625,4,8.0,True
NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2025/26,90.97222222222223,9,8.0,True
"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB",2024/25,97.75,4,3.0,True
"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB",2025/26,98.44444444444444,9,3.0,True
NHS LINCOLNSHIRE ICB,2024/25,97.0,4,1.0,True
NHS LINCOLNSHIRE ICB,2025/26,97.5,9,0.8888888888888888,True
NHS MID AND SOUTH ESSEX ICB,2024/25,99.1,4,5.0,True
NHS MID AND SOUTH ESSEX ICB,2025/26,99.25555555555555,9,4.888888888888889,True
NHS NORFOLK AND WAVENEY ICB,2024/25,98.5,4,1.0,True
NHS NORFOLK AND WAVENEY ICB,2025/26,98.88888888888889,9,1.0,True
NHS NORTH CENTRAL LONDON ICB,2024/25,48.0,4,1.0,True
NHS NORTH CENTRAL LONDON ICB,2025/26,76.77777777777777,9,1.0,True
NHS NORTH EAST AND NORTH CUMBRIA ICB,2024/25,97.24553571428572,4,7.75,True
NHS NORTH EAST AND NORTH CUMBRIA ICB,2025/26,95.125,9,8.0,True
NHS NORTH EAST LONDON ICB,2024/25,96.5,4,1.0,True
NHS NORTH EAST LONDON ICB,2025/26,92.55555555555556,9,1.0,True
NHS NORTH WEST LONDON ICB,2024/25,91.5,4,1.0,True
NHS NORTH WEST LONDON ICB,2025/26,92.66666666666667,9,1.0,True
NHS NORTHAMPTONSHIRE ICB,2024/25,77.5,4,1.0,True
NHS NORTHAMPTONSHIRE ICB,2025/26,72.88888888888889,9,1.0,True
NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB,2024/25,97.5,4,2.0,True
NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB,2025/26,97.88888888888889,9,2.0,True
"NHS SHROPSHIRE, TELFORD AND WREKIN ICB",2024/25,45.75,4,1.0,True
"NHS SHROPSHIRE, TELFORD AND WREKIN ICB",2025/26,49.77777777777778,9,1.0,True
NHS SOMERSET ICB,2024/25,75.75,4,1.0,True
NHS SOMERSET ICB,2025/26,67.22222222222223,9,1.0,True
NHS SOUTH EAST LONDON ICB,2024/25,92.75,4,1.0,True
NHS SOUTH EAST LONDON ICB,2025/26,89.66666666666667,9,1.0,True
NHS SOUTH WEST LONDON ICB,2024/25,96.75,4,1.0,True
NHS SOUTH WEST LONDON ICB,2025/26,96.44444444444444,9,1.0,True
NHS SOUTH YORKSHIRE ICB,2024/25,93.625,4,4.0,True
NHS SOUTH YORKSHIRE ICB,2025/26,93.22222222222223,9,4.0,True
NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,2024/25,89.33333333333333,4,6.0,True
NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,2025/26,81.79629629629629,9,6.0,True
NHS SUFFOLK AND NORTH EAST ESSEX ICB,2024/25,96.25,4,3.0,True
NHS SUFFOLK AND NORTH EAST ESSEX ICB,2025/26,92.37037037037038,9,3.0,True
NHS SURREY HEARTLANDS ICB,2024/25,99.0,4,1.0,True
NHS SURREY HEARTLANDS ICB,2025/26,99.11111111111111,9,1.0,True
NHS SUSSEX ICB,2024/25,78.75,4,3.0,True
NHS SUSSEX ICB,2025/26,82.14814814814815,9,3.0,True
NHS WEST YORKSHIRE ICB,2024/25,94.95,4,5.0,True
NHS WEST YORKSHIRE ICB,2025/26,90.97777777777777,9,5.0,True
NORTH EAST AND YORKSHIRE - H&J COMMISSIONING HUB,2024/25,,4,0.0,True
NORTH EAST AND YORKSHIRE - H&J COMMISSIONING HUB,2025/26,,7,0.0,True
SOUTH EAST - H&J COMMISSIONING HUB,2024/25,,3,0.0,True
SOUTH EAST - H&J COMMISSIONING HUB,2025/26,,6,0.0,True
SOUTH WEST - H&J COMMISSIONING HUB,2025/26,,1,0.0,True
Unknown,2024/25,74.5,4,1.0,True
Unknown,2025/26,86.44444444444444,9,1.0,True
