financial_year,gender,identified_patients,total_items,nic_gbp
2015/2016,Female,25591,238958,10221307.72
2015/2016,Male,81027,808370,34424637.59
2016/2017,Female,28325,269239,11124199.71
2016/2017,Male,87252,877312,36551137.38
2017/2018,Female,31316,295661,11946749.9
2017/2018,Male,93185,924700,38190196.65
2018/2019,Female,34922,326053,13154642.35
2018/2019,Male,101023,992147,40316493.5
2019/2020,Female,40690,391600,15786157.32
2019/2020,Male,113911,1145361,46479464.64
2020/2021,Female,45126,439467,18102320.13
2020/2021,Male,117585,1185482,48612848.93
2021/2022,Female,58296,540280,22048858.87
2021/2022,Male,133617,1333118,52811507.95
2022/2023,Female,79217,720354,30327124.09
2022/2023,Male,154041,1512184,59901283.9
2023/2024,Female,102925,919516,41211412.28
2023/2024,Male,174462,1672676,70203992.16
2024/2025,Female,129651,1160355,55678084.09
2024/2025,Male,196456,1864195,83789058.93
